affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
uosc.usc.edu,,usc.edu,1,,54,University of Southern California,University of Southern California,TRUE,54
hp.hec.fr,,hec.fr,1,,165,HEC Paris,HEC Paris,TRUE,165
ssoe.hhs.se,,hhs.se,1,,147,Stockholm School of Economics,Stockholm School of Economics,TRUE,147
hkbu.hkbu.edu.hk,,hkbu.edu.hk,0.677729678,,143,Hong Kong Baptist University,Johns Hopkins University,,
hu.hofstra.edu,,hofstra.edu,0.72962963,,14,Hofstra University,Stanford University,,
hu.hit-u.ac.jp,,hit-u.ac.jp,0.676841677,,310,Hitotsubashi University,Tsinghua University,,
huoj.huji.ac.il,,huji.ac.il,1,,299,Hebrew University of Jerusalem,Hebrew University of Jerusalem,TRUE,299
ifer.iab.de,,iab.de,0.848701299,,336,Institute for Employment Research,Institute for Fiscal Studies,,
idb.iadb.org,,iadb.org,1,,139,Inter-American Development Bank,Inter-American Development Bank,TRUE,139
snrc.csic.es,,csic.es,0.731118881,,273,Spanish National Research Council,Scuola Superiore Sant'Anna,,
ifas.ias.edu,,ias.edu,0.877922078,,336,Institute for Advanced Study,Institute for Fiscal Studies,,
isu.iastate.edu,,iastate.edu,1,,338,Iowa State University,Iowa State University,TRUE,338
icl.imperial.ac.uk,,imperial.ac.uk,0.939130435,,126,Imperial College London,Imperial College,TRUE,126
ich.idc.ac.il,,idc.ac.il,0.733333333,,220,"Interdisciplinary Center, Herzliya",University of Georgia,,
nu.northwestern.edu,,northwestern.edu,1,,43,Northwestern University,Northwestern University,TRUE,43
ibs.iese.edu,,iese.edu,0.844973545,,396,IESE Business School,SKEMA Business School,,
uu.uu.se,,uu.se,0.884210526,,238,Uppsala University,Uppsala Universitet,TRUE,238
ii.ifo.de,,ifo.de,0.829545455,,30,Ifo Institute,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,TRUE,30
kiftwe.ifw-kiel.de,,ifw-kiel.de,0.783950617,,156,Kiel Institute for the World Economy,Gaidar Institute for Economic Policy,,
su.su.se,,su.se,0.890909091,,190,Stockholm University,Stockholms Universitet,TRUE,190
uoiau.uiuc.edu,,uiuc.edu,1,,334,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,TRUE,334
iifmdl.imd.org,,imd.org,0.7,,298,"International Institute for Management Development, Lausanne",Lancaster University,,
imf.imf.org,,imf.org,1,,4,International Monetary Fund,International Monetary Fund,TRUE,4
iu.iu.edu,,iu.edu,1,,480,Indiana University,Indiana University,TRUE,480
i.insead.edu,,insead.edu,0.675213675,,23,INSEAD,Institute of Labor Economics,,
isob.isb.edu,,isb.edu,0.835869565,,480,Indian School of Business,Indiana University,,
ou.osaka-u.ac.jp,,osaka-u.ac.jp,0.7,,441,Osaka University,York University,,
isi.isical.ac.in,,isical.ac.in,0.832142857,,480,Indian Statistical Institute,Indiana University,,
nrcoi.cnr.it,,cnr.it,0.872109173,,425,National Research Council of Italy,National Research University Higher School of Economics,,
giot.gatech.edu,,gatech.edu,0.875369458,,176,Georgia Institute of Technology,Georgia State University,,
iupu.iupui.edu,,iupui.edu,0.9,,480,Indiana University Purdue University,Indiana University,,
uowo.uwo.ca,,uwo.ca,1,,276,University of Western Ontario,University of Western Ontario,TRUE,276
iftsol.iza.org,,iza.org,0.867445887,,336,Institute for the Study of Labor,Institute for Fiscal Studies,,
jhu.jhu.edu,,jhu.edu,1,,143,Johns Hopkins University,Johns Hopkins University,TRUE,143
jkul.jku.at,,jku.at,0.674074074,,39,"Johannes Kepler University, Linz",University of California-Davis,,
ju.ju.edu,,ju.edu,0.737179487,,93,Jacksonville University,Cornell University,,
kaiosat.kaist.edu,,kaist.edu,0.717427655,,206,Korea Advanced Institute of Science and Technology,African Governance and Development Institute,,
uop.pitt.edu,,pitt.edu,1,,159,University of Pittsburgh,University of Pittsburgh,TRUE,159
frbokc.kc.frb.org,,kc.frb.org,1,,313,Federal Reserve Bank of Kansas City,Federal Reserve Bank of Kansas City,TRUE,313
kcl.kcl.ac.uk,,kcl.ac.uk,1,,410,King's College London,King's College London,TRUE,410
ksu.kennesaw.edu,,kennesaw.edu,0.75497076,,250,Kennesaw State University,Pennsylvania State University,,
uok.kent.ac.uk,,kent.ac.uk,1,,388,University of Kent,University of Kent,TRUE,388
ksu.kent.edu,,kent.edu,0.818181818,,519,Kent State University,Utah State University,,
kiot.kit.edu,,kit.edu,0.806724697,,8,Karlsruhe Institute of Technology,Massachusetts Institute of Technology,,
ku.kobe-u.ac.jp,,kobe-u.ac.jp,0.660606061,,98,Kobe University,Københavns Universitet,,
ku.korea.ac.kr,,korea.ac.kr,0.765,,308,Korea University,Keio University,,
uob.unibe.ch,,unibe.ch,0.837037037,,416,University of Bern,University of Alberta,,
