,DOI,authorId,name,paperCount,citationCount,hIndex
6569,10.1257/aer.p20171091,1741377847,Raúl Sánchez de la Sierra,7.0,322.0,5.0
6570,10.1257/aer.p20171004,89990659,Adrien Auclert,29.0,1020.0,11.0
6571,10.1257/aer.p20171004,90296399,M. Rognlie,42.0,1493.0,17.0
6572,10.1257/aer.p20171005,2177391,J. Benhabib,189.0,18585.0,55.0
6573,10.1257/aer.p20171005,2648128,Alberto Bisin,150.0,8628.0,39.0
6574,10.1257/aer.p20171005,2088698923,Mi (Meg) Luo,24.0,562.0,8.0
6575,10.1257/aer.p20171006,67132528,Julian di Giovanni,31.0,1556.0,12.0
6576,10.1257/aer.p20171006,98570079,A. Levchenko,118.0,6598.0,35.0
6577,10.1257/aer.p20171006,70608201,I. Mejean,51.0,1543.0,17.0
6578,10.1257/aer.p20171007,102505997,Ricardo T. Fernholz,31.0,119.0,6.0
6579,10.1257/aer.p20171007,51336046,Christoffer Koch,34.0,507.0,10.0
6580,10.1257/aer.p20171035,3113641,Markus K. Brunnermeier,170.0,25258.0,52.0
6581,10.1257/aer.p20171035,118835141,M. Sockin,34.0,684.0,9.0
6582,10.1257/aer.p20171035,49602517,Wei Xiong,118.0,11171.0,37.0
6583,10.1257/aer.p20171036,144515024,Ricardo J. Caballero,187.0,20082.0,68.0
6584,10.1257/aer.p20171036,144565670,E. Farhi,196.0,11168.0,49.0
6585,10.1257/aer.p20171036,119387559,Pierre-Olivier Gourinchas,65.0,6349.0,30.0
6586,10.1257/aer.p20171037,2957390,R. Koijen,97.0,5012.0,34.0
6587,10.1257/aer.p20171037,119343780,François Koulischer,20.0,278.0,8.0
6588,10.1257/aer.p20171037,144226679,Benôıt Nguyen,20.0,273.0,7.0
